title	url	points	by	hnId	dot
MSFT is forcing Outlook and Teams to open links in Edge and IT admins are angry	https://www.theverge.com/2023/5/3/23709297/microsoft-edge-force-outlook-teams-web-links-open	913	dustedcodes	35800158	digraph MicrosoftEdge{rankdir=LR;node[shape=box];MicrosoftEdge[label="Microsoft Edge" shape=ellipse style=filled fillcolor=lightblue];DefaultBrowser[label="Default Browser Setting"];ITAdmins[label="IT Admins"];Outlook[label="Outlook"];Teams[label="Teams"];UserChoice[label="User  Choice"];UserComplaints[label="User  Complaints"];AggressivePrompts[label="Aggressive Prompts"];Windows11[label="Windows 11 Default Apps"];PastAttempts[label="Past Attempts to Force Edge"];Microsoft[label="Microsoft"];ChangePolicy[label="Change Policy Notification"];Microsoft->MicrosoftEdge[label="Promotes"];MicrosoftEdge->Outlook[label="Links Open in Edge"];MicrosoftEdge->Teams[label="Links Open in Edge"];MicrosoftEdge->UserChoice[label="Ignores"];UserChoice->UserComplaints[label="Leads to"];ITAdmins->ChangePolicy[label="Notified of Policy Change"];ChangePolicy->UserComplaints[label="Complaints from"];MicrosoftEdge->AggressivePrompts[label="Uses"];Microsoft->Windows11[label="Changes in"];Windows11->PastAttempts[label="Similar Past Attempts"]; subgraph cluster_reactions{label="Reactions";UserComplaints;AggressivePrompts;}}
It's A(door)able	https://ncase.me/door/	831	michaelbrooks	35800492	digraph LoveAndSupport{node[shape=box, style=filled, color=lightblue]; Start[label="Start Here"];PersonalMessage[label="Send Personal Message"];PublicMessage[label="Send Message to Everyone"];Support[label="Support Creator on Patreon"];Thanks[label="Thanks for Playing! ❤️"];Start->PersonalMessage[label="Copy & Send Link"];Start->PublicMessage[label="Share with Everyone"];Start->Support[label="Show Some Love"]; PersonalMessage->Thanks;PublicMessage->Thanks;Support->Thanks;Thanks->Support[label="Keep supporting free content!"];}
Bank Failures Visualized	https://observablehq.com/@mbostock/bank-failures	756	A_D_E_P_T	35795975	digraph Observable{rankdir=TB;Observable[label="Observable", shape=box, style=filled, fillcolor=lightblue];Platform[label="Platform", shape=box];Docs[label="Docs", shape=box];Resources[label="Resources", shape=box];Company[label="Company", shape=box];Features[label="Key Features", shape=ellipse];DataApps[label="Build & Deploy Data Apps", shape=ellipse];LiveNotebooks[label="Live JavaScript Notebooks", shape=ellipse];Collaboration[label="Team Collaboration", shape=ellipse];DataIntegrations[label="Data Loaders (Python, SQL, R)", shape=ellipse];SeamlessDeployment[label="Seamless Deployment", shape=ellipse];Observable->Platform;Observable->Docs;Observable->Resources;Observable->Company;Platform->Features;Features->DataApps;Features->LiveNotebooks;Features->Collaboration;Features->DataIntegrations;Features->SeamlessDeployment;MikeBostock[label="Mike Bostock\nFounder & Creator", shape=oval, style=dashed];Observable->MikeBostock;}
Replit's new Code LLM: Open Source, 77% smaller than Codex, trained in 1 week	https://www.latent.space/p/reza-shabani#details	600	swyx	35803435	digraph LatentSpace{node[shape=box, style=filled, fillcolor="#E0E0E0"]; LatentSpace[label="Latent Space Explorers\n(8500+ members)", shape=ellipse, fillcolor="#A0C4FF"]; Events[label="Events in SF & NYC\n(Join or Create Your Own)", shape=box]; HackerNews[label="22 Hours at Top of Hacker News", shape=box]; Replit[label="Replit\n- $100M Fundraise\n- Open Sourcing replit-code-v1-3b\n- Google Partnership", shape=box]; CodeLLM[label="replit-code-v1-3b\n- Beats OpenAI's Codex\n- HumanEval Benchmark\n- AmjadEval", shape=box]; Interview[label="Interview with Reza Shabani\n(Head of AI at Replit)", shape=box]; Demo[label="Live Demo of Generated Code Samples", shape=box]; Community[label="Community Engagement\n- Share on Social Media\n- Join the Discussion", shape=box];LatentSpace->Events;LatentSpace->HackerNews;LatentSpace->Replit;Replit->CodeLLM;Replit->Interview;Replit->Demo;LatentSpace->Community;}
I want to talk about WebGPU	https://cohost.org/mcc/post/1406157-i-want-to-talk-about-webgpu	526	pjmlp	35800988	digraph WebGPU{rankdir=TB;node[shape=rectangle, style=filled, fillcolor="#f0f8ff"];WebGPU[label="WebGPU"];WebGL[label="WebGL"];Canvas[label="Canvas"];Vulkan[label="Vulkan"];OpenGL[label="OpenGL"];DirectX[label="DirectX"];Metal[label="Metal"];ANGLE[label="ANGLE"];Browser[label="Browsers"];Programmer[label="Programmers"];Middleware[label="Middleware"];WebGPU->WebGL[label="Replaces"];WebGPU->Canvas[label="Potential to replace"];WebGPU->Vulkan[label="Could replace"];WebGPU->OpenGL[label="Supersedes"];WebGPU->DirectX[label="Alternative to"];WebGPU->Metal[label="Similar to"];WebGPU->ANGLE[label="Evolved from"];WebGPU->Browser[label="Integrated in"];Browser->Programmers[label="Impacts"];WebGPU->Middleware[label="Designed for"];Middleware->Programmers[label="Eases development"];note1[label="WebGPU is the new standard for web and software graphics.", shape=note, fillcolor="#e6e6fa"];note2[label="WebGPU is less irritating than predecessors.", shape=note, fillcolor="#e6e6fa"];note3[label="WebGPU is available in the latest browsers.", shape=note, fillcolor="#e6e6fa"];note4[label="WebGPU has limitations with text and lines.", shape=note, fillcolor="#e6e6fa"];note5[label="WGSL is the shader language for WebGPU.", shape=note, fillcolor="#e6e6fa"];WebGPU->note1;WebGPU->note2;Browser->note3;WebGPU->note4;WebGPU->note5;}
OpenLLaMA: An Open Reproduction of LLaMA	https://github.com/openlm-research/open_llama	424	sadiq	35798888	digraph OpenLLaMA{rankdir=LR;node[shape=box, style=rounded];OpenLLaMA[label="OpenLLaMA\nOpen Reproduction of LLaMA"];PublicPreview[label="Public Preview Release"];ModelWeights[label="Model Weights\n(3B, 7B, 13B)"];TrainingData[label="Trained on 1T Tokens"];PyTorchWeights[label="PyTorch Weights\nfor Hugging Face Transformers"];JAXWeights[label="JAX Weights\nfor EasyLM"];EvaluationResults[label="Evaluation Results\nComparison with LLaMA"];Updates[label="Updates"];Contact[label="Contact & Acknowledgments"];License[label="Apache 2.0 License"]; subgraph cluster_models{label="Model Versions";style=dashed;OpenLLaMA_V1[label="OpenLLaMA v1\n(3B, 7B, 13B)"];OpenLLaMA_V2[label="OpenLLaMA v2\n(3Bv2, 7Bv2)"];OpenLLaMA_V1->OpenLLaMA_V2[label="Improved Training Data"];}OpenLLaMA->PublicPreview;OpenLLaMA->ModelWeights;OpenLLaMA->TrainingData;OpenLLaMA->PyTorchWeights;OpenLLaMA->JAXWeights;OpenLLaMA->EvaluationResults;OpenLLaMA->Updates;OpenLLaMA->Contact;OpenLLaMA->License;}
Passkeys: The beginning of the end of the password	https://blog.google/technology/safety-security/the-beginning-of-the-end-of-the-password/	408	donohoe	35801392	digraph Passkeys{graph[rankdir=LR, fontname="Arial", fontsize=12];node[shape=box, style="rounded,filled", fillcolor="#e0f7fa", fontname="Arial"];edge[fontname="Arial"];passkeys[label="Passkeys: A Secure and Easy Alternative to Passwords\nEasier and safer way to sign in", shape=ellipse, fillcolor="#80deea"];easier[label="Easier to Use\n(Unlock with fingerprint, face scan, PIN)", shape=box, fillcolor="#b2ebf2"];secure[label="More Secure\n(Resistant to phishing attacks)", shape=box, fillcolor="#b2ebf2"];google_accounts[label="Available for Google Accounts\nAdditional sign-in option", shape=box, fillcolor="#b2ebf2"];platforms[label="Supports Major Platforms\nIncluding Chrome, Android, Google Workspace", shape=box, fillcolor="#b2ebf2"];passkey_deployment[label="Deployment with Partners\n(Chrome, Android, PayPal, Shopify)", shape=box, fillcolor="#b2ebf2"];passwordless[label="Passwordless Future\nPossibility to avoid passwords", shape=box, fillcolor="#b2ebf2"];passkeys->easier;passkeys->secure;passkeys->google_accounts;passkeys->platforms;passkeys->passkey_deployment;passkeys->passwordless;google_accounts->passkeys[label="Available now"];google_accounts->google_workspace[label="Coming soon for admins"];passwordless->time[label="Gradual transition"];}
The Framework Laptop 13	https://frame.work/blog/announcing-the-framework-laptop-13-powered-by-amd-ryzen	394	Lukas_Skywalker	35802210	digraph Framework{graph[layout=dot, rankdir=TB];node[shape=rectangle, style=filled, color=lightblue];Framework_Laptop_13[label="Framework Laptop 13\n- AMD Ryzen™ 7040 Series"];Framework_Laptop_16[label="Framework Laptop 16\n- AMD 7040"];Marketplace[label="Marketplace"];Support[label="Support"];About[label="About Framework"];Community[label="Community"];News[label="News"];Mainboards[label="Mainboards"];Expansion_Cards[label="Expansion Cards"];Memory_Storage[label="Memory & Storage"];Keyboards[label="Keyboards"];Parts[label="Parts"];Customization[label="Customization"];Tools[label="Tools"];Software[label="Software"];Merch[label="Merch"];Downloads_Guides[label="Downloads and Guides"];Resources[label="Resources"];Contact_Support[label="Contact Support"];Sustainability[label="Sustainability"];Blog[label="Our Blog"];Outlet[label="Outlet"];Community_Forum[label="Community Forum"];Repair_Guides[label="Repair Guides"];Framework_Laptop_13->{Marketplace Support About Community News};Framework_Laptop_16->{Marketplace Support About Community News};Marketplace->{Mainboards Expansion_Cards Memory_Storage Keyboards Parts Customization Tools Software Merch};Support->{Downloads_Guides Resources Contact_Support};About->{Sustainability Blog Outlet};Community->{Community_Forum Repair_Guides};News->Framework_Laptop_13[label="AMD Ryzen™ 7040 Series"];}
A Programmer's Introduction to Mathematics	https://pimbook.org	303	__rito__	35800136	digraph{"A Programmer's Introduction to Mathematics"->"Overview of the contents";"A Programmer's Introduction to Mathematics"->"First pages";"A Programmer's Introduction to Mathematics"->"Physical book";"A Programmer's Introduction to Mathematics"->"E - book";"A Programmer's Introduction to Mathematics"->"GitHub";"A Programmer's Introduction to Mathematics"->"Exercises";"A Programmer's Introduction to Mathematics"->"Demos";"A Programmer's Introduction to Mathematics"->"Errata";"First pages"->"A preview of the book";"Physical book"->"Purchase through Amazon";"E - book"->"Pay what you want (PDF)";"GitHub"->"Code from each chapter";"Exercises"->"Discuss exercises with other readers";"Errata"->"Errata from the first edition";"A Programmer's Introduction to Mathematics"->"© 2021 Jeremy Kun";"A Programmer's Introduction to Mathematics"->"jeremykun.com";"A Programmer's Introduction to Mathematics"->"jeremyjkun@twitter";"A Programmer's Introduction to Mathematics"->"j2kun@github";}
De-dollarization is happening at a ‘stunning’ pace	https://www.bloomberg.com/news/articles/2023-04-18/de-dollarization-is-happening-at-a-stunning-pace-jen-says	267	andreygrehov	35796915	digraph DeDollarization{rankdir=TB;node[shape=box, style=filled, fillcolor=lightblue];A[label="De-Dollarization Is Happening at a ‘Stunning’ Pace" shape=ellipse fillcolor=lightgreen];B[label="Dollar's Reserve Currency Status Falling" fillcolor=lightyellow];C[label="58% of Global Reserves (down from 73% in 2001)" fillcolor=lightyellow];D[label="10x Faster Decline than Past 20 Years" fillcolor=lightyellow];E[label="Countries Seeking Alternatives" fillcolor=lightyellow];F[label="Impact of Russia's Invasion of Ukraine" fillcolor=lightyellow];G[label="11% Market Share Loss since 2016" fillcolor=lightyellow];H[label="22% Market Share Loss since 2008" fillcolor=lightyellow];A->B;A->C;A->D;A->E;A->F;A->G;A->H;I[label="Analysts Underestimating the Speed" fillcolor=lightcoral];J[label="Exchange Rate Movements Affecting Analysis" fillcolor=lightcoral];B->I;C->J;D->J;}
